Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1μF,C_0603_1608Metric,9.9822,33.6675,90,top
C2,0.1μF,C_0603_1608Metric,8.0518,29.9721,90,top
C3,0.1μF,C_0603_1608Metric,2.1082,19.685,0,top
C4,0.1μF,C_0603_1608Metric,9.9822,30.4801,90,top
D1,LED,LED_0603_1608Metric,1.143,26.797,90,top
R1,5.1K 0402,R_0402_1005Metric,7.4422,34.4171,90,top
R2,5.1K 0402,R_0402_1005Metric,3.9116,34.4151,90,top
R3,220 0402,R_0402_1005Metric,1.3462,33.9325,-90,top
R4,5.6K 0402,R_0402_1005Metric,2.7686,32.3323,-90,top
R5,10k,R_0402_1005Metric,2.7686,34.4151,-90,top
R6,5.1K 0402,R_0402_1005Metric,1.141,28.9053,180,top
R7,5.1K 0402,R_0402_1005Metric,1.141,29.9721,0,top
R8,5.1K 0402,R_0402_1005Metric,6.5766,19.4564,180,top
U1,CH340E,MSOP-10_3x3mm_P0.5mm,5.3086,30.1499,-90,top
U2,ATtiny412-SS,SOIC-8_3.9x4.9mm_P1.27mm,3.81,16.002,0,top
USB1,TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,5.6642,44.2679,180,top
